price,year,mileage,location,tax,seller_type,model
"Rp21,300,000",2021,"15,000 km",Kampung Tengah,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp14,600,000",2017,"30,000 km",Kab. Lebak,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp13,300,000",2016,"30,000 km",Kab. Lebak,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,800,000",2022,"15,000 km",Kab. Sumedang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,600,000",2021,"15,000 km",Kab. Sumedang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,300,000",2022,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,750,000",2023,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp12,200,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA NEW VARIO CW FI
"Rp23,900,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,000,000",2022,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp20,000,000",2019,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,100,000",2016,"30,000 km",Denai,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,500,000",2020,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,100,000",2023,"7,500 km",Durian,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,100,000",2022,"7,500 km",Kota Cimahi,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp24,200,000",2022,"7,500 km",Kota Cimahi,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp19,800,000",2018,"15,000 km",Kota Cimahi,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,800,000",2018,"15,000 km",Kota Cimahi,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
