model,price,location,manufacturer,year,mileage,tax,seller_type
Honda Vario LED 2018,Rp 16.500.000,"Bumi Serpong Damai, Tangerang Selatan Kota, Banten",Honda,2018,20.000-25.000 km,mati,Individu
New vario 125 gold 2021 kredit dp 1700 #rjm,Rp 19.500.000,"Pleret, Bantul Kab., Yogyakarta D.I.",Honda,2021,15.000-20.000 km,hidup,Individu
Vario 150.merah 2019 kredit dp 2jt #rjm,Rp 18.900.000,"Pleret, Bantul Kab., Yogyakarta D.I.",Honda,2019,20.000-25.000 km,hidup,Individu
Superb hidup! Honda Vario 160 CBS Th. 2023 Gress Istimewa,Rp 20.950.000,"Tebet, Jakarta Selatan, Jakarta D.K.I.",Honda,2023,None,hidup,unknown
All New Honda Vario CBS ISS 125 CC  Tahun 2023 Gen 2,Rp 18.900.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2023,20.000-25.000 km,hidup,Individu
Honda Vario 110 F1 2017,Rp 10.200.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Honda,2017,45.000-50.000 km,mati,Individu
[TYPE ABS]All New Honda Vario ABS ISS 160 CC  Tahun 2022 ISTIMEWA,Rp 20.000.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2022,10.000-15.000 km,hidup,Individu
Vario 125 ESP CBS 2023 [GARANSI 5000 KM],Rp 14.000.000,"Tangerang, Tangerang Kota, Banten",Honda,2023,15.000-20.000 km,hidup,Diler
VARIO 150 EXCLSV 2017 plat B Jaksel,Rp 12.500.000,"Pancoran Mas, Depok Kota, Jawa Barat",Honda,2017,60.000-65.000 km,hidup,Diler
New Vario 160 CBS 2023 Mantap Ellegant-Odomtr 7.000 KM-plaza motor,Rp 22.600.000,"Medan Tuntungan, Medan Kota, Sumatra Utara",Honda,2023,5.000-10.000 km,hidup,unknown
VARIO 160 CBS 2023 GARANSI 5000 KM,Rp 23.500.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",Honda,2023,15.000-20.000 km,"pajak ,",Diler
Honda Vario 160 cbs 2023 berkualitas&Bergaransi,Rp 22.000.000,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",Honda,2023,15.000-20.000 km,hidup,Diler
Honda Vario 160 cbs 2023 berkualitas&Bergaransi,Rp 23.500.000,"Cilangkap, Jakarta Timur, Jakarta D.K.I.",Honda,2023,15.000-20.000 km,hidup,Diler
Honda vario 160 cbs 2023 berkualitas&Bergaransi,Rp 31.000.000,"Cibubur, Jakarta Timur, Jakarta D.K.I.",Honda,2023,15.000-20.000 km,hidup,Diler
Honda BEAT PGM-FI 2014  ( GRESS / TERAWAT) B DKI,Rp 8.950.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",Honda,2014,5.000-10.000 km,hidup,Individu
Jual Vario 2021 Km rendah barang mulus mesin halus,Rp 19.000.000,"Klojen, Malang Kota, Jawa Timur",Honda,2021,40.000-45.000 km,hidup,Individu
Vario cbs karbu 2010,Rp 295.000.000,"Setu, Tangerang Selatan Kota, Banten",Honda,2010,50.000-55.000 km,hidup,Individu
Vario 150cc pjk baru,Rp 18.250.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",Honda,2019,80.000-85.000 km,hidup,Individu
Vario Techno 2011 Lengkap,Rp 7.650.000,"Balikpapan Kota, Balikpapan Kota, Kalimantan Timur",Honda,2011,60.000-65.000 km,"mati,",Individu
HONDA VARIO 125 CBS ISS TH 2014 TECHNO/OLD/THAILAND/KZL,Rp 12.700.000,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",Honda,2014,none,hidup,unknown
( KREDIT DP 1JT ) HONDA VARIO 125 CBS ISS TH 2020 MULUS GRESS,Rp 319.000.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",Honda,2020,none,hidup,unknown
VARIO 125 ESP CBS ISS 2023,Rp 23.500.000,"Pamulang, Tangerang Selatan Kota, Banten",Honda,2023,15.000-20.000 km,hidup,Diler
Vario 125 old kzr,Rp 44.000.000,"Sungai Kunjang, Samarinda Kota, Kalimantan Timur",Honda,2015,10.000-15.000 km,hidup,Individu
Honda Vario 150 Led cbs iss,Rp 15.700.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2017,35.000-40.000 km,hidup,Individu
Vario 125 tahun 2012 Buahbatu  Mesin Ok Siap Touring,Rp 9.500.000,"Buahbatu (Margacinta), Bandung Kota, Jawa Barat",Honda,2012,80.000-85.000 km,mati,Individu
ALL NEW VARIO 160 CBS 2022 - SRI SANJAYA MOTOR,Rp 23.400.000,"Ujung Berung, Bandung Kota, Jawa Barat",Honda,2022,5.000-10.000 km,hidup,Diler
VARIO TECHNO 2011 SURAT KOMPLIT,Rp 14.900.000,"Setu, Bekasi Kab., Jawa Barat",Honda,2011,75.000-80.000 km,mati,Individu
Km 0 yamaha aerox 155 LED 2023 bln 10 freego nmax lexi pcx adv vario,Rp 24.200.000,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",Yamaha,2023,0-5.000 km,hidup,Diler
Vario 150 CBS ISS 2020,Rp 319.000.000,"Bogor Barat - Kota, Bogor Kota, Jawa Barat",Honda,2020,45.000-50.000 km,hidup-,Diler
"Vario125cc istimewahh, buku servish masih ada",Rp 19.900.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",Honda,2023,10.000-15.000 km,hidup,Diler
DIJUAL VARIO 150,Rp 13.750.000,"Kesambi, Cirebon Kota, Jawa Barat",Honda,2017,15.000-20.000 km,hidup,Individu
Honda Vario 150 Tahun 2020,Rp 17.000.000,"Cinere, Depok Kota, Jawa Barat",Honda,2020,10.000-15.000 km,hidup,Individu
PCX 160 ABS 2021 plat F bogor,Rp 25.800.000,"Pancoran Mas, Depok Kota, Jawa Barat",Honda,2021,55.000-60.000 km,hidup,Diler
[hidup] All New Honda Vario CBS ISS 160 CC  Tahun 2023,Rp 20.000.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2023,20.000-25.000 km,hidup,Individu
(DP 800)‼️ Plat B DKI JakBar Vario 160 CBS Keyless Hitam 2023,Rp 295.000.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",Honda,2023,5.000-10.000 km,hidup,Diler
VARIO 125 ESP CBS ISS 2023 [GARANSI 5000 KM],Rp 22.000.000,"Karawaci, Tangerang Kota, Banten",Honda,2023,5.000-10.000 km,hidup,Diler
Honda Vario 110 CBS Techno Istimewa,Rp 7.850.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",Honda,2010,55.000-60.000 km,mati,Individu
[hidup] All New Honda Vario CBS ISS 150 CC Tahun 2020 ISTIMEWA,Rp 17.000.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",Honda,2020,30.000-35.000 km,hidup,Individu
HONDA VARIO 125 NEW 2018,Rp 15.000.000,"Cilincing, Jakarta Utara, Jakarta D.K.I.",Honda,2018,30.000-35.000 km,hidup,Individu
Jual Motor bekas Honda Vario tahun 2006 surat lengkap,Rp 5.200.000,"Bambu Apus, Jakarta Timur, Jakarta D.K.I.",Honda,2006,0-5.000 km,hidup,Individu
HONDA VARIO 125 KEYLESS 2024,Rp 24.200.000,"Cikarang Selatan, Bekasi Kab., Jawa Barat",Honda,2024,10.000-15.000 km,hidup,Diler
Vario 160 ABS Tahun 2022,Rp 23.500.000,"Rajabasa, Bandar Lampung Kota, Lampung",Honda,2022,20.000-25.000 km,hidup,Individu
Vario gresss km 5 rb keyless,Rp 69.800.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",Honda,2024,0-5.000 km,hidup,Diler
Honda Vario 150 Istimewa Mulus,Rp 18.600.000,"Bekasi Selatan, Bekasi Kota, Jawa Barat",Honda,2019,30.000-35.000 km,hidup,Individu
HONDA VARIO 150 LED NEW 2019,Rp 19.500.000,"Cikarang Selatan, Bekasi Kab., Jawa Barat",Honda,2021,10.000-15.000 km,hidup,Diler
Vario Keyless Tahun 2020 Orisinil,Rp 319.000.000,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",Honda,2020,20.000-25.000 km,hidup,Individu
VARIO 160 CBS KM 246 PERAK ! SPECIAL EDITION BLN 6 TH 2024,Rp 295.000.000,"Daan Mogot, Jakarta Barat, Jakarta D.K.I.",Honda,2024,0-5.000 km,hidup,Individu
Honda Vario 150 Tahun 2021 ISTIMEWA,Rp 295.000.000,"Bekasi Selatan, Bekasi Kota, Jawa Barat",Honda,2021,35.000-40.000 km,hidup,Individu
Jual vario 160 cbs iss tahun 2023,Rp 295.000.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",Honda,2023,15.000-20.000 km,hidup,Diler
Honda All New Vario 160 CBS 2023,Rp 295.000.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",Honda,2023,10.000-15.000 km,hidup,Individu
"Honda vario 125cc 2017 cbs seger TURUN HARGA,BU",Rp 295.000.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",Honda,2017,30.000-35.000 km,"mati,",Individu
